name,prediction_isobutane
XISKUF_clean-(id_184676),1.4194425
ja507947d_si_001_auto-(id_185624),14.868414
COXHED_clean-(id_175150),10.311067
LIXXEW_clean-(id_179266),1.8691664
BOHJOZ_auto-(id_185650),2.5368927
JILXOS_clean-(id_178373),0.7528846
UMOBEF_clean-(id_183150),16.23431
KARNAU_clean-(id_178568),16.526644
PIDNEX_clean-(id_181078),16.221457
COXHIH_clean-(id_175151),9.996218
UMOVOJ_clean-(id_183195),16.367426
JIYXUL_clean-(id_178389),1.2902598
YIPDOR_clean-(id_185225),16.098928
FATVOM_clean-(id_176282),1.2812771
PIQFIG_clean-(id_181094),9.790583
XALTIP_clean-(id_184449),13.86223
ZIVCOY_clean-(id_185866),15.149813
LASRIJ_clean-(id_179053),10.002211
UMODEH16_clean-(id_183176),16.016043
DANFUW_clean-(id_175348),1.5095437
XIYYEL_clean-(id_184694),9.829996
PUZLUS_clean-(id_181296),15.932956
RURPAW_clean-(id_182082),1.4525145
ZIJSAO_clean-(id_185426),16.33584
TIRHIL_clean-(id_182752),9.611925
XAPGED_clean-(id_184504),4.966785
RUHFIL_clean-(id_182062),8.252586
PEBNEP_clean-(id_180954),0.6341621
XAPGAZ_clean-(id_184503),4.7788234
RAYMIP_clean-(id_181783),15.81814
RUHFOR_clean-(id_182063),8.078783
ILITUT_manual-(id_177872),15.419465
MAHCEG_clean-(id_179506),14.697305
MAHCOQ_clean-(id_179508),14.825217
UKAZEM_clean-(id_183077),8.872177
TOVJAR_clean-(id_182847),14.8166065
NEXVET_clean-(id_180109),14.605644
XUDNUH_clean-(id_184794),15.362198
UGEMOK_clean-(id_183010),15.882362
XUTQEI_clean-(id_184861),15.1301985
OLOGEC_clean-(id_180610),14.389641
LUMLIQ_clean-(id_179379),1.0341535
VEWKUF_clean-(id_185431),15.600739
IZISEQ_clean-(id_178162),2.1076932
PEDRIA_clean-(id_180962),14.281527
LAWFOF_clean-(id_179075),14.359561
NUSXEG_clean-(id_180356),10.945233
LAWFUL_clean-(id_179076),14.306622
LAWGAS_clean-(id_179078),14.34111
UMOVID_clean-(id_183194),15.501552
ZAHLEC_clean-(id_185148),14.62505
CEGWER_clean-(id_174841),1.6148629
NANTII_clean-(id_179978),12.209808
LASREF_clean-(id_179052),9.003664
XAFBEN_clean-(id_184397),3.1383307
VAZTUM_clean-(id_183520),14.290419
ZODXAT_clean-(id_185192),14.671089
YOLGUB_clean-(id_185087),8.07079
ZACHET_clean-(id_185609),14.323869
PELRIJ_clean-(id_181006),14.48061
BEWVOQ_clean-(id_174505),9.160254
MAHCIK_clean-(id_179507),14.212041
POTREX_clean-(id_181194),15.391999
XIDSUZ_clean-(id_184628),14.385664
ja5b02999_si_006_clean-(id_178279),12.704315
BAXGAK_clean-(id_174419),2.345014
POBGAQ01_clean-(id_181125),14.735683
UMODEH02_clean-(id_183162),14.9274025
UMOVEZ_clean-(id_183188),14.880078
XEMHOM_clean-(id_184588),0.60322833
UHUPET_clean-(id_183031),12.660185
OCUPOS_clean-(id_180429),1.882053
KOJZIT_clean-(id_178774),14.448833
LASRAB_clean-(id_179051),8.201622
UMOBEF01_clean-(id_183151),14.8560505
ESIDOB_clean-(id_176031),2.7999191
PEVQIS_clean_h-(id_181048),13.519212
ja111042f_si_002_clean-(id_185147),15.493821
WAVROC_clean-(id_183969),14.480486
RUHFUX_clean-(id_182064),7.910376
RUHFEH_clean-(id_182061),7.900515
RAVWAO_clean-(id_181759),12.624191
IZEPAF_clean-(id_178148),12.720232
YOZQEK_clean-(id_185341),11.660373
KUQWIE_clean-(id_178899),0.87789595
SETTAO_clean-(id_182300),14.271694
LUFQUZ01_clean-(id_179361),1.9917692
MABKEG_clean-(id_179446),1.0496444
