name,prediction_isobutane
XISKUF_clean-(id_184676),0.80132955
ja507947d_si_001_auto-(id_185624),14.655425
COXHED_clean-(id_175150),9.710881
LIXXEW_clean-(id_179266),1.430551
BOHJOZ_auto-(id_185650),2.3773494
JILXOS_clean-(id_178373),0.49510318
UMOBEF_clean-(id_183150),16.109217
KARNAU_clean-(id_178568),16.25186
PIDNEX_clean-(id_181078),16.06637
COXHIH_clean-(id_175151),9.465795
UMOVOJ_clean-(id_183195),16.08442
JIYXUL_clean-(id_178389),1.10201
YIPDOR_clean-(id_185225),15.797943
FATVOM_clean-(id_176282),0.86872405
PIQFIG_clean-(id_181094),9.416884
XALTIP_clean-(id_184449),13.416251
ZIVCOY_clean-(id_185866),14.831098
LASRIJ_clean-(id_179053),9.515353
UMODEH16_clean-(id_183176),15.73301
DANFUW_clean-(id_175348),1.0401568
XIYYEL_clean-(id_184694),9.253305
PUZLUS_clean-(id_181296),15.676721
RURPAW_clean-(id_182082),1.0318601
ZIJSAO_clean-(id_185426),16.253843
TIRHIL_clean-(id_182752),8.91126
XAPGED_clean-(id_184504),4.663304
RUHFIL_clean-(id_182062),7.8501124
PEBNEP_clean-(id_180954),0.3281889
XAPGAZ_clean-(id_184503),4.485797
RAYMIP_clean-(id_181783),15.721134
RUHFOR_clean-(id_182063),7.7098093
ILITUT_manual-(id_177872),15.123829
MAHCEG_clean-(id_179506),14.266088
MAHCOQ_clean-(id_179508),14.397736
UKAZEM_clean-(id_183077),8.536818
TOVJAR_clean-(id_182847),14.437861
NEXVET_clean-(id_180109),14.069861
XUDNUH_clean-(id_184794),15.116955
UGEMOK_clean-(id_183010),15.70513
XUTQEI_clean-(id_184861),14.854147
OLOGEC_clean-(id_180610),14.044637
LUMLIQ_clean-(id_179379),0.7212493
VEWKUF_clean-(id_185431),15.345546
IZISEQ_clean-(id_178162),1.4525149
PEDRIA_clean-(id_180962),13.829517
LAWFOF_clean-(id_179075),13.887964
NUSXEG_clean-(id_180356),10.511092
LAWFUL_clean-(id_179076),13.883436
LAWGAS_clean-(id_179078),13.899066
UMOVID_clean-(id_183194),15.339445
ZAHLEC_clean-(id_185148),14.328046
CEGWER_clean-(id_174841),1.1398513
NANTII_clean-(id_179978),12.003223
LASREF_clean-(id_179052),8.603349
XAFBEN_clean-(id_184397),2.332996
VAZTUM_clean-(id_183520),13.845807
ZODXAT_clean-(id_185192),14.30549
